ID,Year,State,Parliament,ParliamentCode,Registered,Malay,Chinese,Indian,Party,Candidate,Votes
1,2018,PL,Padang Besar,P1,46095,0.87,0.09,0.01,UMNO,Zahidi Bin Zainul Abidin,15032
1,2018,PL,Padang Besar,P1,46095,0.87,0.09,0.01,BERSATU,Izizam Bin Ibrahim,13594
1,2018,PL,Padang Besar,P1,46095,0.87,0.09,0.01,PAS,Mokhtar Bin Senik,7874
1,2013,PL,Padang Besar,P1,41974,0.86,0.09,0.01,UMNO,Zahidi Bin Zainul Abidin,21473
1,2013,PL,Padang Besar,P1,41974,0.86,0.09,0.01,PAS,Azamhari Bin Mohamood,14047
2,2018,PL,Kangar,P2,55938,0.82,0.15,0.02,PKR,Noor Amin Bin Ahmad,20909
2,2018,PL,Kangar,P2,55938,0.82,0.15,0.02,UMNO,Ramli Bin Shariff,15306
2,2018,PL,Kangar,P2,55938,0.82,0.15,0.02,PAS,Mohamad Zahid Bin Ibrahim,8465
2,2013,PL,Kangar,P2,51207,0.81,0.16,0.02,UMNO,Shaharuddin Bin Ismail,23343
2,2013,PL,Kangar,P2,51207,0.81,0.16,0.02,PAS,Baharuddin Bin Ahmad,19306
3,2018,PL,Arau,P3,48187,0.88,0.08,0.02,UMNO,Shahidan Bin Kassim,16547
3,2018,PL,Arau,P3,48187,0.88,0.08,0.02,BERSATU,Abd Rahman Bin Daud,11691
3,2018,PL,Arau,P3,48187,0.88,0.08,0.02,PAS,Hashim Bin Hj Jasin,11362
3,2013,PL,Arau,P3,43876,0.88,0.08,0.02,UMNO,Shahidan Bin Kassim,19376
3,2013,PL,Arau,P3,43876,0.88,0.08,0.02,PAS,Haron Bin Din,18005
3,2013,PL,Arau,P3,43876,0.88,0.08,0.02,IND,Zainudin Bin Yom,406
4,2018,KD,Langkawi,P4,42697,0.91,0.07,0.02,BERSATU,Mahathir Bin Mohamad,18954
4,2018,KD,Langkawi,P4,42697,0.91,0.07,0.02,UMNO,Nawawi Bin Ahmad,10061
4,2018,KD,Langkawi,P4,42697,0.91,0.07,0.02,PAS,Zubir Bin Ahmad,5512
4,2013,KD,Langkawi,P4,37536,0.91,0.06,0.02,UMNO,Nawawi Bin Ahmad,21407
4,2013,KD,Langkawi,P4,37536,0.91,0.06,0.02,PKR,Ahmad Bin Abdullah,9546
4,2013,KD,Langkawi,P4,37536,0.91,0.06,0.02,IND,Marina Binti Hussein,180
5,2018,KD,Jerlun,P5,54132,0.91,0.07,0.02,BERSATU,Mukhriz Mahathir,18695
5,2018,KD,Jerlun,P5,54132,0.91,0.07,0.02,PAS,Abd Ghani Bin Ahmad,12829
5,2018,KD,Jerlun,P5,54132,0.91,0.07,0.02,UMNO,Othman Bin Aziz,12413
5,2013,KD,Jerlun,P5,52383,0.91,0.08,0.02,UMNO,Othman Bin Aziz,24161
5,2013,KD,Jerlun,P5,52383,0.91,0.08,0.02,PAS,Ismail Bin Salleh,20891
6,2018,KD,Kubang Pasu,P6,73881,0.87,0.09,0.04,BERSATU,Amiruddin Bin Hamzah,29984
6,2018,KD,Kubang Pasu,P6,73881,0.87,0.09,0.04,UMNO,Mohd Johari Bin Baharum,16975
6,2018,KD,Kubang Pasu,P6,73881,0.87,0.09,0.04,PAS,Norhafiza Binti Fadzil,13375
6,2013,KD,Kubang Pasu,P6,65550,0.86,0.09,0.04,UMNO,Mohd Johari Bin Baharum,33334
6,2013,KD,Kubang Pasu,P6,65550,0.86,0.09,0.04,PAS,Mohd Jamal Bin Nasir,22890
7,2018,KD,Padang Terap,P7,46644,0.92,0.01,0.06,UMNO,Mahdzir Bin Khalid,16384
7,2018,KD,Padang Terap,P7,46644,0.92,0.01,0.06,PAS,Mohamad Azam Bin Abd Majid @ Abd Aziz,15285
7,2018,KD,Padang Terap,P7,46644,0.92,0.01,0.06,AMANAH,Mohd Khairizal Bin Khazali,7254
7,2013,KD,Padang Terap,P7,41960,0.92,0.01,0.06,UMNO,Mahdzir Bin Khalid,20654
7,2013,KD,Padang Terap,P7,41960,0.92,0.01,0.06,PAS,Mohd Nasir Bin Zakaria,16212
7,2013,KD,Padang Terap,P7,41960,0.92,0.01,0.06,IND,Muhamad Bazli Bin Abdullah,243
8,2018,KD,Pokok Sena,P8,86892,0.82,0.16,0.02,AMANAH,Mahfuz Bin Omar,28959
8,2018,KD,Pokok Sena,P8,86892,0.82,0.16,0.02,PAS,Muhamad Radhi Bin Mat Din,23401
8,2018,KD,Pokok Sena,P8,86892,0.82,0.16,0.02,UMNO,Said Ali Bin Said Rastan,18390
