ID,State,ParliamentCode,Parliament,Malay,Chinese,Indian,Registered,Total,Turnout,Year,Coalition,Party,Candidate,SpoilerPAS,Winner,Votes,VoteShare,Majority,Margin,ChangeMalay,ChangeChinese,ChangeRegistered,ChangeTotal,ChangeTurnout,ChangeWinner,ChangeMajority,ChangeMargin,ChangeVoteShare,Parties,Rank,WastedVotes
1,Perlis,P1,Padang Besar,0.86,0.09,0.01,41974,35520,0.8462381474245961,2013,BN,UMNO,Zahidi Bin Zainul Abidin,0,1,21473,0.6045326576576576,7426,0.2090653153153153,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3713
1,Perlis,P1,Padang Besar,0.87,0.09,0.01,46095,36500,0.7918429330730015,2018,BN,UMNO,Zahidi Bin Zainul Abidin,1,1,15032,0.41183561643835614,1438,0.039397260273972605,0.010000000000000009,0,4121,980,-0.05439521435159467,0,-5988,-0.1696680550413427,-0.19269704121930148,3,1,2865.333333333334
1,Perlis,P1,Padang Besar,0.86,0.09,0.01,41974,35520,0.8462381474245961,2013,Pakatan,PAS,Azamhari Bin Mohamood,0,0,14047,0.3954673423423423,-7426,-0.2090653153153153,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,14047
1,Perlis,P1,Padang Besar,0.87,0.09,0.01,46095,36500,0.7918429330730015,2018,Pakatan,BERSATU,Izizam Bin Ibrahim,1,0,13594,0.3724383561643836,-1438,-0.039397260273972605,0.010000000000000009,0,4121,980,-0.05439521435159467,0,5988,0.1696680550413427,-0.023028986177958732,3,2,13594
1,Perlis,P1,Padang Besar,0.87,0.09,0.01,46095,36500,0.7918429330730015,2018,PAS,PAS,Mokhtar Bin Senik,1,0,7874,0.21572602739726027,-7158,-0.19610958904109588,0.010000000000000009,0,4121,980,-0.05439521435159467,NA,NA,NA,NA,3,3,7874
2,Perlis,P2,Kangar,0.81,0.16,0.02,51207,42649,0.8328744117015252,2013,BN,UMNO,Shaharuddin Bin Ismail,0,1,23343,0.5473281905789116,4037,0.09465638115782316,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2018.5
2,Perlis,P2,Kangar,0.82,0.15,0.02,55938,44680,0.7987414637634523,2018,BN,UMNO,Ramli Bin Shariff,1,0,15306,0.34256938227394806,-5603,-0.1254028648164727,0.009999999999999898,-0.010000000000000009,4731,2031,-0.034132947938072866,-1,-9640,-0.22005924597429585,-0.2047588083049635,3,2,15306
2,Perlis,P2,Kangar,0.81,0.16,0.02,51207,42649,0.8328744117015252,2013,Pakatan,PAS,Baharuddin Bin Ahmad,0,0,19306,0.4526718094210884,-4037,-0.09465638115782316,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,19306
2,Perlis,P2,Kangar,0.82,0.15,0.02,55938,44680,0.7987414637634523,2018,Pakatan,PKR,Noor Amin Bin Ahmad,1,1,20909,0.4679722470904208,5603,0.1254028648164727,0.009999999999999898,-0.010000000000000009,4731,2031,-0.034132947938072866,1,9640,0.22005924597429585,0.015300437669332367,3,1,6015.666666666666
2,Perlis,P2,Kangar,0.82,0.15,0.02,55938,44680,0.7987414637634523,2018,PAS,PAS,Mohamad Zahid Bin Ibrahim,1,0,8465,0.18945837063563115,-12444,-0.2785138764547896,0.009999999999999898,-0.010000000000000009,4731,2031,-0.034132947938072866,NA,NA,NA,NA,3,3,8465
3,Perlis,P3,Arau,0.88,0.08,0.02,43876,37787,0.8612225362384903,2013,BN,UMNO,Shahidan Bin Kassim,0,1,19376,0.5127689416995262,1371,0.03628231931616693,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6780.333333333334
3,Perlis,P3,Arau,0.88,0.08,0.02,48187,39600,0.8217984103596405,2018,BN,UMNO,Shahidan Bin Kassim,1,1,16547,0.41785353535353537,4856,0.12262626262626262,0,0,4311,1813,-0.0394241258788498,0,3485,0.08634394331009569,-0.09491540634599088,3,1,3347
3,Perlis,P3,Arau,0.88,0.08,0.02,43876,37787,0.8612225362384903,2013,IND,IND,Zainudin Bin Yom,0,0,406,0.010744435917114352,-18970,-0.502024505782412,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,406
3,Perlis,P3,Arau,0.88,0.08,0.02,43876,37787,0.8612225362384903,2013,Pakatan,PAS,Haron Bin Din,0,0,18005,0.47648662238335937,-1371,-0.03628231931616693,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,18005
3,Perlis,P3,Arau,0.88,0.08,0.02,48187,39600,0.8217984103596405,2018,Pakatan,BERSATU,Abd Rahman Bin Daud,1,0,11691,0.2952272727272727,-4856,-0.12262626262626262,0,0,4311,1813,-0.0394241258788498,0,-3485,-0.08634394331009569,-0.18125934965608664,3,2,11691
3,Perlis,P3,Arau,0.88,0.08,0.02,48187,39600,0.8217984103596405,2018,PAS,PAS,Hashim Bin Hj Jasin,1,0,11362,0.2869191919191919,-5185,-0.13093434343434343,0,0,4311,1813,-0.0394241258788498,NA,NA,NA,NA,3,3,11362
4,Kedah,P4,Langkawi,0.91,0.06,0.02,37536,31133,0.8294170929241261,2013,BN,UMNO,Nawawi Bin Ahmad,0,1,21407,0.6875983682908811,11861,0.38097838306619985,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11029.333333333334
4,Kedah,P4,Langkawi,0.91,0.07,0.02,42697,34527,0.8086516617092536,2018,BN,UMNO,Nawawi Bin Ahmad,1,0,10061,0.2913951400353347,-8893,-0.25756654212645175,0,0.010000000000000009,5161,3394,-0.02076543121487251,-1,-20754,-0.6385449251926516,-0.3962032282555464,3,2,10061
4,Kedah,P4,Langkawi,0.91,0.06,0.02,37536,31133,0.8294170929241261,2013,IND,IND,Marina Binti Hussein,0,0,180,0.005781646484437735,-21227,-0.6818167218064434,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,180
